09-20-2023,20-09-2018 12:04,Cash,Transportation,Train,2 Place 5 to Place 0,1.5,30,Expense,USD,INR
09-20-2023,20-09-2018 12:03,Cash,Food,snacks,Idli medu Vada mix 2 plates,3,60,Expense,USD,INR
09-19-2023,19-09-2018,Saving Bank account 1,subscription,Netflix,1 month subscription,9.95,199,Expense,USD,INR
09-17-2023,17-09-2018 23:41,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,0.95,19,Expense,USD,INR
09-16-2023,16-09-2018 17:15,Cash,Festivals,Ganesh Pujan,Ganesh idol,12.55,251,Expense,USD,INR
09-15-2023,15-09-2018 06:34,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,10,200,Expense,USD,INR
09-14-2023,14-09-2018 05:39,Cash,Transportation,auto,Place 2 station to Permanent Residence,2.5,50,Expense,USD,INR
09-13-2023,13-09-2018 21:35,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,2,40,Expense,USD,INR
09-13-2023,13-09-2018 21:01,Credit Card,Other,,HBR 2 Months subscription,4.15,83,Expense,USD,INR
09-13-2023,13-09-2018 21:01,Cash,Food,Grocery,1kg atta,2.3,46,Expense,USD,INR
09-13-2023,13-09-2018,Saving Bank account 1,Small Cap fund 2,,,250,5000,Transfer-Out,USD,INR
09-13-2023,13-09-2018,Saving Bank account 1,Small cap fund 1,,,250,5000,Transfer-Out,USD,INR
09-12-2023,12-09-2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,33.35,667,Expense,USD,INR
09-11-2023,11-09-2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,32.5,650,Expense,USD,INR
09-11-2023,11-09-2018,Saving Bank account 1,Other,,From Family,175,3500,Income,USD,INR
09-11-2023,11-09-2018,Cash,Food,Milk,Half lit  milk,1.8,36,Expense,USD,INR
09-10-2023,10-09-2018,Cash,Food,Milk,Half lit  milk,1.8,36,Expense,USD,INR
09-08-2023,08-09-2018,Cash,Family,Pocket money,,2,40,Expense,USD,INR
09-07-2023,07-09-2018,Cash,Food,Milk,Half lit  milk,1.85,37,Expense,USD,INR
09-07-2023,07-09-2018,Saving Bank account 1,Equity Mutual Fund E,,,50,1000,Transfer-Out,USD,INR
09-06-2023,06-09-2018,Cash,Food,snacks,Amul butter,2.75,55,Expense,USD,INR
09-05-2023,05-09-2018,Cash,Apparel,Laundry,11 clothes ironing,3.85,77,Expense,USD,INR
09-05-2023,05-09-2018,Cash,Food,snacks,Chinese Bhel,1.5,30,Expense,USD,INR
09-05-2023,05-09-2018,Cash,Food,snacks,Shev Puri,2,40,Expense,USD,INR
09-05-2023,05-09-2018,Cash,Food,snacks,2 kachori,1.2,24,Expense,USD,INR
09-05-2023,05-09-2018,Saving Bank account 1,Food,Milk,Half lit  milk,1.8,36,Expense,USD,INR
09-05-2023,05-09-2018,Saving Bank account 1,Food,breakfast,Bread,0.9,18,Expense,USD,INR
09-03-2023,03-09-2018,Cash,Family,Pocket money,,100,2000,Expense,USD,INR
09-01-2023,01-09-2018,Saving Bank account 1,Public Provident Fund,,,625,12500,Transfer-Out,USD,INR
09-01-2023,01-09-2018,Equity Mutual Fund B,Saving Bank account 1,,,100,2000,Transfer-Out,USD,INR
08-31-2023,31-08-2018 15:12,Cash,Family,Pocket money,,50,1000,Expense,USD,INR
08-31-2023,31-08-2018 15:12,Cash,Gift,,farewell contribution,5.9,118,Expense,USD,INR
08-31-2023,31-08-2018 10:01,Credit Card,Food,Dinner,Domino's Pizza,25.5425,510.85,Expense,USD,INR
08-31-2023,31-08-2018 09:27,Saving Bank account 1,Salary,,From workplace ,3512.75,70255,Income,USD,INR
08-31-2023,31-08-2018 09:26,Cash,Food,Milk,Half lit  milk,1.8,36,Expense,USD,INR
08-30-2023,30-08-2018 21:10,Cash,Food,Sweets,Warna Srikhand pav kg,3.9,78,Expense,USD,INR
08-30-2023,30-08-2018 21:09,Cash,Household,Kirana,Supermart,17.15,343,Expense,USD,INR
08-29-2023,29-08-2018 12:21,Cash,Food,Grocery,Baking soda,1.35,27,Expense,USD,INR
