date,actual,predicted
2023-09-20 00:00:00,3.0,1.5
2023-09-15 00:00:00,1.0,5.666666666666667
2023-09-13 00:00:00,2.0,6.666666666666667
2023-09-11 00:00:00,13.0,3.0
2023-09-08 00:00:00,2.0,5.25
2023-09-07 00:00:00,5.0,5.25
2023-09-05 00:00:00,2.0,6.333333333333333
2023-09-03 00:00:00,1.0,6.333333333333333
2023-09-01 00:00:00,13.0,3.0
2023-08-31 00:00:00,5.0,6.0
2023-08-27 00:00:00,1.0,7.0
2023-08-24 00:00:00,11.0,2.0
2023-08-23 00:00:00,3.0,1.0
2023-08-17 00:00:00,1.0,6.5
2023-08-14 00:00:00,8.0,5.0
2023-08-13 00:00:00,5.0,5.0
2023-08-07 00:00:00,5.0,4.666666666666667
2023-08-06 00:00:00,5.0,4.666666666666667
2023-08-05 00:00:00,5.0,4.5
2023-08-03 00:00:00,5.0,3.8333333333333335
2023-08-02 00:00:00,5.0,3.3333333333333335
2023-08-01 00:00:00,2.0,3.6
2023-07-31 00:00:00,6.0,3.0
2023-07-30 00:00:00,5.0,3.0
2023-07-29 00:00:00,4.0,2.6666666666666665
2023-07-28 00:00:00,1.0,3.3333333333333335
2023-07-26 00:00:00,2.0,2.75
2023-07-23 00:00:00,5.0,2.0
2023-07-21 00:00:00,3.0,2.75
2023-07-20 00:00:00,1.0,4.25
2023-07-19 00:00:00,2.0,5.0
2023-07-15 00:00:00,7.0,6.6
2023-07-14 00:00:00,1.0,7.4
2023-07-13 00:00:00,7.0,8.2
2023-07-10 00:00:00,9.0,6.428571428571429
2023-07-09 00:00:00,9.0,5.285714285714286
2023-07-08 00:00:00,7.0,6.142857142857143
2023-07-07 00:00:00,5.0,6.285714285714286
2023-07-06 00:00:00,11.0,5.5
2023-07-05 00:00:00,1.0,6.4
2023-07-04 00:00:00,5.0,6.6
2023-07-03 00:00:00,7.0,5.4
2023-07-02 00:00:00,1.0,6.6
2023-07-01 00:00:00,13.0,4.4
2023-06-30 00:00:00,6.0,4.0
2023-06-27 00:00:00,6.0,3.3333333333333335
2023-06-26 00:00:00,1.0,3.3333333333333335
2023-06-25 00:00:00,7.0,1.5
2023-06-24 00:00:00,2.0,1.0
2023-06-19 00:00:00,1.0,9.0
2023-06-16 00:00:00,11.0,6.5
2023-06-13 00:00:00,7.0,5.5
2023-06-10 00:00:00,6.0,5.0
2023-06-07 00:00:00,5.0,13.0
2023-06-01 00:00:00,13.0,5.0
2023-05-28 00:00:00,5.0,7.0
2023-05-21 00:00:00,7.0,7.5
2023-05-15 00:00:00,13.0,3.0
2023-05-14 00:00:00,2.0,2.8
2023-05-13 00:00:00,1.0,3.8
2023-05-11 00:00:00,1.0,4.2
2023-05-10 00:00:00,4.0,3.8
2023-05-08 00:00:00,7.0,3.5
2023-05-07 00:00:00,1.0,4.5
2023-05-06 00:00:00,6.0,3.8333333333333335
2023-05-05 00:00:00,3.0,4.5
2023-05-03 00:00:00,2.0,5.0
2023-05-02 00:00:00,5.0,5.0
2023-05-01 00:00:00,4.0,5.25
2023-04-30 00:00:00,7.0,5.25
2023-04-29 00:00:00,2.0,6.333333333333333
